Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Relocation Assistance Offered Within Country
# 95060 - Mumbai, Maharashtra, India

What is the PURPOSE of your role?

This role is expected to apply strong expertise in data science and machine learning through use of data collection & mining, data analysis, data visualizations, and predictive/prescriptive modeling to build, test, and maintain analytics solutions which meet key business needs. The ideal candidate will be experienced with 1) statistical and mathematical techniques to identify trends & anomalies, identify causal impacts, and develop predictions, 2) experimental design, 3) end-to-end model deployment and maintenance, 4) simple data engineering tasks like SQL querying for standard and ad-hoc data analysis, and 5) generating actionable insights from analytics solutions. The ideal candidate will be a strong communicator with the ability to tell stories and draw insights from complex transformations of data to non-technical audiences. This role will work with an analytics translator, data engineers, and key business partners to define the business problem in a way that can be solved analytically, ; develop efficient and accurate analytical models (ranging from descriptive to prescriptive) and incorporate them into data products or tools which meaningfully make an impact on the business.

Core responsibilities of this role

Formulate and lead multifaceted analytic studies against large and small volumes of data for a variety of problems including projections, classifications, clustering, pattern analysis, simulations and more
Interpret and analyze (structured and unstructured) data using exploratory statistical and mathematical techniques to identify trends, anomalies, and quantify business results
Integrate data science work into user-facing applications and tools with data engineers, business leads, analysts and developers
Build, deploy, maintain, and refresh end-to-end, repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products
Proactively establish business acumen and engineer features which not only improve models, but are easy to interpret
Identify and/or create new data as needed for use cases with limited data
Work with data engineers to clean, massage, and organize data and to define data assets, eg, data models
Takes an active role in creating analytical (e.g., code libraries) and data (e.g., external or partnership based data) assets
Where needed, generate experiments on data using the scientific method, story-tell experimental results, and provide previously undiscovered solutions to data challenges
Stay on top of industry and field trends to push analytic builds towards best practices and state-of-art, as needed
Effectively communicate the analytics approach and how it will meet and address objectives to business partners
Defines data lifecycles, including data sources, frequency and process for ongoing model upgrades
Collaborates with the team to shape use cases and guide them towards defining data standards and identifying new data sources
Integrating work into applications and tools with data engineers, business leads, analysts and developers
Create repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products
Engineer features by using your business acumen that will improve analytical models and are easy to interpret
Explain principles and approaches to business partners and senior management in a non-technical manner

What expertise are we looking for?
MUST HAVE

Academics: Bachelor’s in Data Science, Mathematics, Computer Science, Engineering, Statistics, Econometrics, or other analytical field
Prior Experience:
Minimum 2+ years’ experience in programming Languages - Python, R, C++, and/or Java
Demonstrated experience being self-sufficient using these languages to handle data
Nice to have experience in running use cases in the sales analytics/ eCommerce domain

Technology Expertise
Proven experience in translating business challenges into data pipelines & model framework
Demonstrated proficiency with supervised and unsupervised modeling- including regressions, classifications, feature selection, clustering, decision tree/forest learning, SVM, ensembling & stacking, dimensionality reduction and more
Familiarity with or minimal ramp-up needed with Bayesian statistics, causal inference, Q-learning, temporal difference, GANs, multi-armed bandits, and more
Familiarity with or minimal ramp-up needed with natural language processing and computer vision techniques
Demonstrated proficiency with data visualization techniques & tools such as Plotly, matplotlib, ggplot2, etc, Shiny, Dash, Tableau, etc
Experience with large datasets and distributed computing (Hive/Hadoop, Spark)
Experience with statistical tools or packages (eg R, RapidMiner, SciKit) and ML frameworks (eg TensorFlow, Theano, Keras, MLlib)
Familiarity with data engineering including:
SQL implementations (PostgreSQL, MySQL, Oracle, DB2)
ETL/ELT techniques, especially on cloud infrastructure (eg Google Cloud Platform)

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation.",4.0,"Colgate-Palmolive
4.0",Mumbai,-1,10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientist I,₹438K - ₹641K (Glassdoor Est.),"21-Dec-2020

Job ID
305226BR
{""QuestionName"":""Job Description"",""AnswerValue"":""20+ brands catering to 50+ disease areas! The team of Novartis specialists within Insights & Analytics are on a data and digital transformation journey, leveraging analytics to generate actionable insights for Novartis medicines impacting more than 500 million patients worldwide. The team is poised to enable easier, faster and reliable decisions for Novartis divisions across the globe.

• Work on a variety of business applications including but not limited to: Customer Segmenta-tion & Targeting, Event Prediction, Propensity Modelling, Churn Modelling, Customer Lifetime Value Estimation, Forecasting, Recommender Systems, Modelling Response to Incentives, Mar-keting Mix Optimization, Price Optimization
• Develop automation for repeatedly refreshing analysis and generating insights Modelling Re-sponse to Incentives, Marketing Mix Optimization, Price Optimization
• Collaborates with globally dispersed internal stakeholders and cross-functional teams to solve critical business problems and deliver successfully on high visibility strategic initiatives
• Understands life science data sources including sales, contracting, promotions, social media, patient claims and Real World Evidence
• Quickly learns the use of tools, data sources and analytical techniques needed to answer a wide range of critical business questions
• Articulates solutions/recommendations to business users. Works with senior data science team member to present analytical content concisely and effectively
• Project manages own tasks and works with allied team members; plans proactively, antici-pates and actively manages change, sets stakeholder expectations as required, identifies oper-ational risks and independently drives issues to resolution, minimizes surprise escalations
• Independently identifies research articles and reproduce/apply methodology to Novartis busi-ness problems

Position Title
Data Scientist I",4.1,"Novartis
4.1",Hyderābād,-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
"Manager, Data Science",₹438K - ₹641K (Glassdoor Est.),"At Aera, we deliver the cognitive technology that enables the Self-Driving Enterprise™: a Cognitive Operating System™ that connects you with your business and autonomously orchestrates your operations. Aera's Cognitive OS leverages the best of artificial intelligence, machine learning, natural language processing, big data, and enterprise domain expertise to deliver Cognitive Automation at scale for some of the world's largest companies.
Aera is currently seeking a Manager, Data Science to join our global Data Science team to lead and mentor our team of data scientists in Pune. As Manager, Data Science you will lead our efforts to solve challenging customer problems through in-depth data and predictive analytics techniques. This role is an ideal opportunity for someone who enjoys working on new and challenging data science problems as well as managing a team of high performing data scientists.
This role is critical to Aera’s mission and success and is a great opportunity for the right leader. This role will report to our Pune-based Director of Data Science
Responsibilities
Lead and guide a team of 5-6 data scientists by bringing out the best in those around you, both on your immediate team, and in the extended Aera team
Active role in recruiting and retaining top talent. Handle performance management and goal setting for your team
Lead project planning and prioritization and ensure successful delivery of projects
Expertise in building diagnostic and predictive models through classical modelling and Machine Learning
Gathers, analyses, and model’s data to solve complex business problems and evaluate scenarios to make predictions on potential future outcomes
Drive continuous improvement of data science and analytics by researching industry best practices and incorporating it to our company
Collaborate with other team members to build data-science products and services using the Aera platform
About You
Master’s Degree in Computer Science, Mathematics, Statistics or a related quantitative field with a focus on Machine Learning or Deep Learning. Ph.D. preferred
10+ years of professional experience as a Machine Learning Engineer/Data Scientist; in a product development setting
5+ years in leadership position with people management experience within a dynamic, start-up environment
Strong track record in solving analytical problems using quantitative and statistical approaches
Experience in designing and industrializing Analytical solutions
Strong track record in solving analytical problems using quantitative and statistical approaches
Expert knowledge in Regression, Clustering, Random Forest, Decision Trees, Optimization, Time Series, Probability, and other related advanced algorithms
Expert knowledge of an analytics tool such as R, Python & Spark
Experience in communicating with clients and requirement gathering
Expert in working with cloud-based platforms like AWS knowledge
Excellent communication, active listening and presentation skills and ability to communicate effectively with all levels in the organisation
Passion for delivering service excellence; and developing a culture of “easy to do business with”, where customer’s needs are anticipated
Highly analytical mind-set with strong ability to identify, troubleshoot, problem solve and resolve issues. Passion for simplification and continuous improvement
Knowledge of supply chain would be preferred
At Aera, we're on a mission to solve the biggest, most intractable challenges in the world of enterprise software. We envision the rise of the Self-Driving Enterprise: a more autonomously functioning business with a central operating system that connects and orchestrates business operations. Our Cognitive Operating System is increasingly used by the world's largest companies to fundamentally transform their organizations and how work is done.

If you share our passion for building the next generation of enterprise software, and deploying it for the most sophisticated customers in the world, you’ve met your match. Headquartered in Mountain View, California, we're growing fast, with teams in Mountain View and San Francisco (California), Bucharest and Cluj-Napoca (Romania), Paris (France), Munich (Germany), London (UK), Pune and Bangalore (India), Sydney (Australia) and Singapore. So join us, and let’s build the future of work together!",3.7,"Aera Technology
3.7",Pune,-1,201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Amazon strives to be Earth's most customer-centric company where people can find and discover anything they want to buy online. We hire the world's brightest minds, offering them a fast paced, technologically sophisticated, and friendly work environment.

The FinAuto Data Engineering and Analytics team, part of Finance Automation Org focuses on the application of machine learning methods designed to enable Amazon to increase free cash flow by optimizing spend, expense, payroll defects. All of this work is performed in close coordination with senior business leaders. These are exciting fast-paced businesses in which we get to work on extremely interesting analytical problems, in an environment where you get to learn from other data engineers and apply econometric, statistics, and machine learning at massive scale.

As a member of the FinAuto Data Engineering and Analytics team, you will partner closely with a team of stake holders, payment teams, data engineers and software engineers.
In this role you will:
· Work with data engineers to design and implement machine learning applications and solutions.
· Implement and maintain a high-volume, highly available, hybrid (SQL + No SQL) data processing solutions that consists of structured and semi-structured data.
· Design and implement a very large distributed data warehousing and reporting solution and integrate it with business intelligence tools.

Basic Qualifications

· 5+ years of experience in software development of large-scale data infrastructure and distributed systems
· 5+ years of experience in data extraction, transformation, statistical analysis and data modeling
· 5+ years of experience developing enterprise software using Java or Python
· 3+ years of experience in applying Data Mining and Machine Learning techniques to solve business problems
· 3+ years of experience using major RDBMS, Hadoop, Spark, Elasticsearch, or similar technologies
· 3+ years of experience with statistical modeling tools such as R, SAS, SciKit-learn, or TensorFlow
· Bachelors degree in Computer Science, Computer Engineering, Machine Learning, or related field or equivalent experience.

Preferred Qualifications

· Masters degree in Computer Science, Computer Engineering, Machine Learning, or related field; PhD a plus
· Deep expertise in Statistics, Machine Learning or related disciplines
· Advanced knowledge in performance, scalability, numerical accuracy, enterprise system architecture, best practices.
· Experience building solutions using AWS big data and machine learning services
· Ability to communicate complex technical concepts and solutions to all levels of the organization",4.3,"Amazon
4.3",Hyderābād,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"About PayPal:

Founded in 1998, PayPal is the leading global online payment service built for the digital age. We have over 250 million customers around the world and handle almost a fifth of the worlds online payments. And were delivering the future of money today. You can use PayPal anytime, anywhere, anyway. PayPal continues to drive connected commerce across all channels - online, mobile and in-store.

About Protections & Resolutions:

Customer Protections is a core value proposition for PayPal that allows buyers and sellers to transact on PayPal platform with security and peace of mind by guarding against fraud and abuse. The Resolutions platform puts the customer first to resolve disputes in a fair, user-friendly manner at the same time optimizing loss and operations cost for PayPal.

We are an End-to-End team of 14 member team consisting of Business owners, Data Scientists and Data Analysts based out of SanJose, Bangalore, Chennai & Dublin.

Role Description:

As a member of the Resolutions team, youll play a key role in PayPal margin improvement through Loss and Opex reduction.

As an Analyst, you will,
Build expertise in PayPal data sources to find, manage and simplify complex data
Integrate data and product knowledge to build stories and convey actionable insights
Set up measurement frameworks like Pre-Post, A/B tests to assess project impact
Be a subject expert for Resolution policies, and Resolutions process
Work with partner teams such as Operations and Engineering for project implementation
The advantage of an End-to-End team is that you drive the implementation also. PayPal being a data-driven company, expertise in data analytics will help you grow either into a Data Scientist or a Product Manager role.",3.9,"Paypal
3.9",Bangalore,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Engineer,₹438K - ₹641K (Glassdoor Est.),"We are looking for a passionate, motivated, high-performing Data Engineer that is looking to leverage their skills to modernize our data platform. Reporting to the Information Technology Department, the Data Engineer will work closely with Shure associates located in North America, Europe and Asia to build, enhance data analytics solutions required to support our business strategy. The position will be responsible for engineering and supporting data pipelines leveraging Shure technology investments in AWS and Informatica. Data will include structured and unstructured, internal and external, Internet of Things, etc. The ideal candidate will leverage their experience working with big data platforms, complex structured (e.g. SAP ERP system) and unstructured data sets, and/or data visualizations.
Shure is a global leader in professional audio electronics with a history of product innovation spanning over 90 years. The product portfolio includes superior hardware and software audio products used in hundreds of audio applications across multiple vertical markets. The success and reputation of the Shure brand has been defined by continuous commitment to Total Quality. Shure products are sold in over a 100 countries and continues to be voted as one of Chicago's 101 Best and Brightest Companies to Work For. The Shure Hyderabad location operational since June 2019 will be leveraged to expand and grow the global IT applications team in India.

Representative Duties:
• Responsible for data engineering development to connect source systems into Shure’s AWS data lake leveraging Informatica’s data engineering application and other data integration applications.
• Performing extraction, transformation and loading (ETL) of data from multiple sources into Shure’s data lake and/or data warehousing layer.
• Develops and implements methods and techniques to improve data movement efficiency, quality, and reliability.
• Development of data quality rules in order to cleanse and manipulate data into acceptable values (trimming, normalization, various data manipulation functions, etc.).
• Ensures that data development opportunities to provide increase data “availability” for analysts & data scientists are realized.
• Understand data design and domain of source system data.
• Provide development and support for Shure’s enterprise data catalog.
• Responsible for data warehouse design, development and support using data warehouse technology such as AWS Redshift and Snowflake.
• Develops and follows a defined set processes for data modeling, quality, mining and production.
• Supports data acquisition activities ensuring architecture will support business requirements.
• Assists with data governance, data security, and data quality efforts.
• Collaborate with the IT global team to understand requirements and solution design for the implementation of analytics solutions.
• Adhere to best practice design to build flexible, scalable, sustainable data models and analytic solutions that meet business needs.
• Provide high quality code deliverables that meet the standards, perform technical validation and support functional and user acceptance testing.
• Provide technical guidance across multiple areas including source system data integration, data quality and security.
• Writes technical specifications for data analytic solutions.
• Monitor, develop, support ETL processes to support analytics operations while working on projects to improve the functionality and reliability of the overall data infrastructure.
• Work with automation and orchestrating data jobs on AWS cloud platform.
• Support data preparation and enablement of data visualization technology such as Tableau or Power BI.
• Provide routine support to business users and functional teams by resolving user Service Desk tickets and Requests in accordance with agreed upon SLAs.
• Perform ad-hoc queries and requests for data.
• Prepare necessary end-user training and job aids.
• Assist with trouble shooting and data analysis
• Actively participate as a member of the IT team in activities that include communications, status meetings and internal initiatives.
• Adhere and contribute to general IT processes, procedures and policies
• Maintain a current awareness of modern data platform developments and trends and determine how they can be used to enhance productivity within the company.
• Other duties as assigned.

Requirements:
• Bachelor’s degree in a Computer Science or Business discipline or equivalent work experience in a relevant data engineering area.
• Minimum of 4 years of experience working with enterprise data data warehouse and platforms, building and managing data lakes and using big data technologies.
• Proficient in AWS technology platform. Experience with solutioning on AWS infrastructure using services like AWS S3, Lambda, EMR, Redshift or Snowflake.
• Experience or willing to learn Informatica’s data engineering, data quality, data preparation and/or enterprise data catalog.
• Prior experience in working with structured data in an ERP and data warehouse package such as SAP-ECC, Salesforce or SAP-BW.
• Knowledge and experience on non structured data, no-SQL and proficiency in Python is a plus.
• Experience in operational and management reporting including data visualization and reporting technology such as Tableau, Power BI, SQL Reporting Services or Business Objects.
• Demonstrated understanding of business processes and how they affect reporting design and solutions
• Ability and willingness to learn and implement new analytic technologies and tools
• Has a good understanding of industry common and best practices
• Able to work on problems of diverse scope where analysis of data or situations requires evaluation of identifiable factors.
• Demonstrates good judgment in selecting methods and techniques for obtaining solutions for difficult assignments and of diverse scope.
• Excellent written and verbal communication skills, as well as strong time management skills.
• Good problem solving and root cause analysis skills.
• Key Competencies: Adaptability, Critical Thinking, Customer Focus, Technical Excellence, Communication, Drive for Results, Integrity and Trust, Priority Setting, Relationship Building, Analytical Skills.",4.3,"Shure Incorporated
4.3",Hyderābād,-1,1001 to 5000 Employees,1925,Company - Private,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Introduction
As a Data Scientist at IBM, you will help transform our clients data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether its investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
As businesses, governments and communities become more data driven in their decision making and business operations, demand on the new and innovative AI and Analytics related capabilities are exponentially growing. As trusted advisor to the Chief Analytics Officer and various CXOs (Marketing, Risk, Digital), build compelling value proposition for flexible and futuristic Analytics driven insights and solutions. You will partner with sector teams, global markets team and all IBM brands to sense, originate, qualify opportunities, and pursue the deals to closure.

Responsibilities:
Originate new Analytics &AI opportunities in partnership with Global Markets, Sectors and IBM Brands
Work closely with the deal teams to shape and solution Analytics & AI led programs, continuously engage with key client executives and share IBM solution details, effectively communicate value proposition on analytics led insights and embed AI solution in client processes.
Own end to end delivery of, a) large & complex Analytics &AI led transformation programs, b) small and nimble business insights initiatives to realize quick gains, c) work with IBM and Partners to bring the best tools and delivery methods.
Own the offerings and assets on key components of Analytics & AI value chain, including understanding burning platform and industry trends, define and frame hypothesis,
Build key partnerships with top tools, platform and fintechs.
Improvise new and innovative data assets and drive its adoption to the market.
Be a thought leader on AI
Should have hired and nurtured talent and grow them in market facing specialists and consultants. Should have built a community of practice on data.
Required Technical and Professional Expertise
Someone who has traversed the Analytics &AI value chain, having moved the clients from data to insights.
Deep expertise in applying Analytics for two or more industries (BFSI, Manufacturing, Distribution, Electronics, Oil&Gas etc.)
In depth understanding of AI tools across Machine Learning, Intelligent Automation, Conversation Intelligence and how they all come together to build AI ecosystem
Worked in a third party consulting, service, technology organization for a fair share of the career.
Consulted clients on aspiration to make them information led decision making business.
Hands on expertise in developing and implementing predictive models (statistical and machine learning) for large enterprises.
Proven deep client relationships and drive the advisory agenda.
Proven ability to enhance value of an opportunity through new technology
Ability to run multiple and disparate client conversations, opportunity pursuits, and handle the execution of dynamic practice agenda.
Preferred Technical and Professional Expertise
Support both the development of new business opportunities and the delivery of analytics platform services to clients.
Advise clients in the planning, design, management, execution, and reporting of the core components for big data offerings. Skills include: architecture, tool selection, data lake design and implementation
Strong relations in the Indian market with key client decision makers
About Business Unit
IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",4.0,"IBM
4.0",Gurgaon,-1,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Responsibilities
Manages effective engagement in initiatives which require the development and deployment of advanced analytical solutions; may include hands on model development for the most complex business needs
Accountable for business impact and robustness of solutions delivered including: platforms, procedures, models, test designs
Acts as a primary contact with senior managers in several business functional areas
Probes for unidentified business needs and explores opportunities for team to develop appropriate, data-based approaches to those needs
Directs business-impacting activity of team, and articulates to senior management business plans and results of initiatives
Manages/Mentors other analysts and is a thought-leader in data science across the organization
Follows industry trends and tests new tools and techniques to solve new/existing business challenges
Makes sound decisions in the best interest of the firm according to risk management practices and policies
Qualifications and Required Skills
Generally 6+ years of related experience
Bachelor's degree in a quantitative or related field
MS/PhD in a quantitative discipline such as Statistics, Physics, Economics, Applied Math, Computer Science, Operations Research, or Computational Sciences, with coursework and projects in machine learning and data analysis
Advanced knowledge of statistical software packages, including SAS, Python and R
Must be able to write clean and concise code in at least two of the following: Python, Java, and Scala. Our interview process includes writing some code to solve a problem on the whiteboard
Subject Matter Expert in statistical techniques, predictive modeling, time series forecasting, text mining
Ability to transform information derived from data into actionable insights which directly relate to the organizations key strategic objectives
Demonstrate superior judgment to mitigate risk, and fosters an environment where risk/control issues are escalated and trends are anticipated and identified
Demonstrate full appreciation of and compliance with regulatory obligations
Build a cohesive team through strong communication, team involvement, and strong leadership
Communicate effectively with Senior leaders to enable collaboration, decision-making, and transparency
Outstanding written/verbal communication and presentation skills
Demonstrated strong ability to analyze problems, design solutions, and communicate effectively and confidently (both verbal and written) with relevant stakeholders to gain buy-in
Comfort with ambiguity and proven ability to structure problems and develop analytical frameworks
Exercise sound judgment; act with integrity; protect our company, clients and customers
Highly self-motivated, able to manage and deliver in an innovative and fast-paced environment
Flexibility/adaptability (ability to change direction based upon team and stakeholder consensus)
Preferred Skills
Functional industry experience in operations, marketing, credit/risk, technology or finance
For more information on Data Scientist roles, please view the Predictive Science Job Family Overview.J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",4.0,"J.P. Morgan
4.0",Mumbai,-1,10000+ Employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"Our Excellerate Global Leadership Program will give you an outstanding opportunity to engage with commercial projects at a strategic and global level, rising up to challenges and becoming and developing as a leader.

As part of the Excellerate program you are able to seize the initiative, operate with a consultative approach and collaborate on cross-technology solutions. The program will ensure you gain real practical insight into our business, our stakeholders and our customers including communication service providers (CSP) across the globe, and how we integrate end-to-end solutions to ensure everyone worldwide is connected.

Your journey within the Excellerate Program will start as Ericsson Early Career Program | Innovate | at GAIA

Our Exciting Opportunity :


As a Data Scientist, you will need to have strong programming skills and good understanding of data science and Machine Learning tools. You will use your knowledge and/or experience in Data Science methodologies and apply them to seek results-oriented real-world problems as part of a highly dynamic and distributed team. Your contribution will also help to build new offerings in the areas of MI driven 4G and 5G network, distributed cloud, IoT and other emerging businesses!
We believe in trust – we trust each other to do the right things!
We believe in taking decisions as close to the product and technical expertise as possible.
We believe in creativity – trying new things and learning from our mistakes.
We believe in sharing our insights and helping one another to build an even better user plane.
We truly believe in happiness, we enjoy and feel passionate about what we do and value each other’s technical competence deeply.
You will:

Conduct functional and technical analysis within Ericsson organization and strategic customers to understand MI-driven business needs and opportunities.
Engage with external ecosystem (academia, technology leaders, open source etc.) to develop the skills and technology portfolio for MI’s needs.
Work with new technologies and champion them in MI Communities within Ericsson.
Help to develop new and apply/extend existing, concepts, methodologies, techniques for multi-functional initiatives.
To be successful in the role you must have:
Experience with Big Data technologies such as Hadoop, Cassandra etc.
Strong Programming skills in various languages (C++, Scala, Java, R) with proficiency in Python and/or C++.
Ability to build and champion internal and external communities.
Ability to work independently with high energy, passion and persistence.
Key Qualification:

Experience: 3 years
Education: · A Bachelor’s degree or higher in a technology related discipline from a reputed university.
What´s in it for you?


Here at Ericsson, our culture is built on over a century of daring decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo, but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, in a place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless.

What happens once you apply?


To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-process

Do you believe that an organization fostering an environment of cooperation and collaboration to execute with speed creates better business value? Do you value a culture of humanness, where fact based decisions are important and our people are encouraged to speak up? Do you believe that diverse, inclusive teams drive performance and innovation? At Ericsson, we do.

Be the one who did.

Find out more about our Early Career program, what the alumni's are up to now and how the program can transform your career at www.ericsson.com/ecp",4.0,"Ericsson-Worldwide
4.0",Chennai,-1,10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
Data Scientist,₹438K - ₹641K (Glassdoor Est.),"When everything's connected, how we connect is everything… and we'd like to connect with you too! We are looking for you to help us deliver exceptional customer experiences as a Data Scientist.
At TTEC Digital, we combine human insight and the speed of technology to transform our clients’ interactions with their customers. Advanced analytics of the customer experience and customer interactions is our expertise.
Check out our website below to learn more about what we do and how we help our clients.
What you’ll be doing
This person will be a part of our Global Data Science Center focused on helping our clients find and seize opportunities in their markets.

Support the development of consulting products such as proprietary customer experience scores and marketing optimization solutions
Maintain our stellar reputation with our clients and drive >80 client NPS
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to deliver proprietary uplift model solutions
Support the introduction and advancement of decision science throughout our contact center engagement
Recommend and introduce new methods where relevant
Resource Planning
Recommend required resources to managers
Align required resources to client schedules
Mentor data engineers and architects on requirements
Develop requirements and technical specifications documents for use by engineers

Delivery
Recommend project timelines to managers
Drive on-time delivery and identify and escalate risks to managers
Support attainment of annual goals for client satisfaction
Deliver your own solutions while collaborating on other projects

What you’ll bring to the role
Masters in Statistics, Economics, IE/OR, Computer Science, Applied Mathematics or related field is required; PhD is a plus
1-5 years' experience delivering advanced analytics solutions since graduate program
Ability to translate client requests into approach statements and project plans
Ability to work in a highly collaborative, team-oriented environment
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems
Expert at data wrangling both structured and unstructured data
Experience delivering solutions using regression modeling or machine learning techniques; experience with both is desired
Expert in developing and implementing predictive analytics solutions in one or more of the following languages: R or Python experience with SAS is desired
Experience delivering solutions using large datasets (multi-Gb or larger)
Experience in MS Office suite of products, especially Excel and Powerpoint
Ability to work within any modern big data environment (AWS, MS Azure, SAP Hana, etc.) is desired
Experience with text analytic or speech analytic is desired.
Experience with one or more modern social listening tools (Crimson Hexagon, TheySay, etc.) is desired
What skills you’ll need:
Excellent analytic and data-driven thinking skills
Strong communication skills and an ability to work successfully in a distributed workforce
Creative problem solving and an understanding of analytics workflows
Strong background in consulting a plus

About TTEC
We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.",3.5,"TTEC
3.5",Hyderābād,-1,10000+ Employees,1982,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1
